Claim_ID,Policy_Holder,Claim_Date,Claim_Type,Claim_Amount,Location,Rainfall_mm,Weather_Condition,Settlement_Status,Processing_Days
C0290,Hansh Dar,2025-06-25,Health,115128,Chennai,219,Moderate Rain,Rejected,16
C0291,Raghav Mandal,2024-11-02,Agriculture,189729,Ahmedabad,74,Heavy Rain,Rejected,28
C0292,Tarini Barad,2025-08-10,Vehicle,103721,Delhi,276,Light Rain,Settled,28
C0293,Pihu Bala,2025-07-26,Property,442543,Lucknow,133,Heavy Rain,Settled,19
C0294,Lakshay Choudhury,2024-12-07,Vehicle,136053,Bangalore,277,Flood,Pending,30
C0295,Myra Choudhury,2024-12-27,Vehicle,67448,Lucknow,288,Moderate Rain,Settled,19
C0296,Yuvaan Mani,2025-03-16,Vehicle,64158,Lucknow,189,Flood,Settled,27
C0297,Ritvik Kamdar,2025-09-20,Vehicle,43784,Delhi,221,Heavy Rain,Settled,15
C0298,Seher Chawla,2025-09-10,Agriculture,88513,Chennai,51,Light Rain,Settled,30
C0299,Eva Saxena,2025-02-20,Health,105637,Jaipur,242,Heavy Rain,Settled,6
C0300,Kiara Zacharia,2025-05-27,Health,32987,Bangalore,70,Heavy Rain,Settled,7
C0301,Aarush Devi,2024-11-09,Agriculture,180253,Kolkata,94,Moderate Rain,Settled,17
C0302,Raunak Kulkarni,2025-09-19,Property,176866,Bangalore,262,Moderate Rain,Settled,27
C0303,Riya Hayer,2024-10-12,Health,55222,Bangalore,162,Moderate Rain,Settled,11
C0304,Misha Kota,2025-06-16,Agriculture,62754,Bangalore,300,Light Rain,Settled,23
C0305,Mohanlal Kurian,2025-05-15,Property,441723,Pune,225,Light Rain,Pending,14
C0306,Miraya Goyal,2025-06-02,Health,110103,Jaipur,209,Moderate Rain,Settled,18
C0307,Tushar Soman,2024-11-11,Property,121269,Hyderabad,166,Light Rain,Rejected,28
C0308,Ahana  Bandi,2024-12-15,Property,138757,Delhi,191,Moderate Rain,Pending,15
C0309,Kashvi Shanker,2025-06-09,Health,166321,Kolkata,252,Moderate Rain,Rejected,30
C0310,Rati Ratti,2025-06-14,Vehicle,112143,Kolkata,172,Heavy Rain,Settled,6
C0311,Mehul Ganesan,2024-11-19,Agriculture,119984,Kolkata,136,Light Rain,Settled,3
C0312,Veer Sethi,2025-02-25,Health,175718,Chennai,106,Heavy Rain,Rejected,12
C0313,Onkar Dash,2025-09-15,Property,381041,Bangalore,143,Light Rain,Pending,28
C0314,Vaibhav Vala,2025-04-25,Agriculture,253060,Delhi,277,Moderate Rain,Settled,26
C0315,Eshani Tata,2024-12-26,Vehicle,39432,Mumbai,175,Moderate Rain,Settled,16
C0316,Aradhya Aurora,2025-05-04,Property,461104,Jaipur,239,Light Rain,Settled,27
C0317,Amani Yogi,2025-04-07,Agriculture,287077,Mumbai,292,Moderate Rain,Pending,22
C0318,Taimur Dada,2025-08-13,Health,102230,Pune,209,Light Rain,Settled,28
C0319,Dharmajan Hayer,2024-10-28,Health,128756,Ahmedabad,299,Flood,Pending,29
C0320,Taimur Bhandari,2024-11-06,Health,39028,Chennai,84,Moderate Rain,Pending,24
C0321,Charvi Bhatia,2024-11-29,Health,73017,Kolkata,265,Moderate Rain,Rejected,27
C0322,Lagan Trivedi,2025-03-29,Agriculture,249151,Ahmedabad,227,Flood,Pending,10
C0323,Hiran Rajagopalan,2024-12-21,Health,47034,Chennai,74,Flood,Settled,27
C0324,Faiyaz Kannan,2025-02-27,Property,257733,Ahmedabad,178,Moderate Rain,Pending,11
C0325,Vihaan Iyengar,2025-08-08,Property,205561,Ahmedabad,252,Flood,Settled,7
C0326,Ivan Dey,2025-08-30,Health,98282,Jaipur,271,Light Rain,Settled,4
C0327,Misha Majumdar,2025-07-29,Health,23722,Hyderabad,189,Flood,Settled,16
C0328,Mamooty Bhatnagar,2025-06-14,Property,362446,Jaipur,127,Moderate Rain,Settled,8
C0329,Yasmin Bhatia,2025-06-23,Agriculture,99449,Lucknow,75,Heavy Rain,Settled,14
C0330,Nishith Sekhon,2025-08-21,Agriculture,228570,Pune,143,Heavy Rain,Settled,13
C0331,Ranbir Sama,2025-01-19,Vehicle,88303,Pune,276,Moderate Rain,Settled,18
C0332,Zeeshan Chandra,2025-04-13,Property,356018,Bangalore,217,Light Rain,Pending,18
C0333,Ivan De,2025-03-17,Agriculture,71918,Mumbai,270,Moderate Rain,Rejected,17
C0334,Amira Ravel,2025-03-19,Vehicle,93311,Jaipur,61,Heavy Rain,Settled,26
C0335,Manikya Sule,2025-07-16,Health,64203,Chennai,105,Light Rain,Settled,3
C0336,Badal Chauhan,2024-12-11,Agriculture,270482,Bangalore,241,Light Rain,Settled,14
C0337,Aarush Bhagat,2025-07-01,Agriculture,283539,Kolkata,68,Heavy Rain,Settled,11
C0338,Amani Chokshi,2025-06-23,Vehicle,77689,Jaipur,289,Flood,Pending,13
C0339,Zaina Ravi,2024-11-27,Vehicle,139758,Hyderabad,195,Flood,Pending,30
C0340,Kartik Rout,2024-12-15,Vehicle,118428,Chennai,265,Moderate Rain,Settled,18
C0341,Arnav Kaur,2025-05-03,Agriculture,267092,Lucknow,147,Moderate Rain,Settled,22
C0342,Kanav Tak,2025-04-08,Property,487380,Kolkata,117,Light Rain,Pending,19
C0343,Devansh Savant,2025-06-05,Health,129173,Pune,228,Moderate Rain,Pending,14
C0344,Eva Dyal,2025-09-17,Agriculture,292245,Mumbai,293,Heavy Rain,Settled,22
C0345,Tushar Dugal,2025-06-23,Agriculture,121242,Kolkata,52,Light Rain,Pending,11
C0346,Lavanya Khosla,2025-08-05,Agriculture,270075,Mumbai,300,Light Rain,Settled,4
C0347,Shalv Seth,2025-06-23,Health,29623,Pune,180,Heavy Rain,Settled,7
C0348,Samaira Banerjee,2024-09-29,Property,307439,Lucknow,207,Moderate Rain,Settled,14
C0349,Zain Agarwal,2024-12-01,Property,430615,Pune,81,Light Rain,Settled,29
C0350,Taran Deol,2025-08-08,Health,139183,Kolkata,155,Heavy Rain,Pending,15
C0351,Neelofar Sridhar,2025-04-13,Health,186033,Pune,67,Moderate Rain,Settled,6
C0352,Nitya Krishnamurthy,2025-01-15,Property,335132,Bangalore,283,Light Rain,Settled,7
C0353,Dhanuk Vala,2025-07-11,Health,176515,Bangalore,226,Heavy Rain,Pending,28
C0354,Biju Sha,2025-04-22,Health,130354,Jaipur,155,Moderate Rain,Settled,21
C0355,Krish Dewan,2024-12-29,Health,143421,Jaipur,153,Flood,Settled,26
C0356,Aaina Vasa,2024-10-19,Health,168517,Ahmedabad,187,Moderate Rain,Settled,25
C0357,Adira Subramanian,2025-08-03,Agriculture,123519,Lucknow,277,Moderate Rain,Settled,26
C0358,Yakshit Swamy,2025-05-23,Health,39502,Delhi,270,Moderate Rain,Pending,6
C0359,Aarush Dubey,2025-09-23,Property,230753,Lucknow,143,Flood,Settled,6
C0360,Ahana  Mani,2025-04-01,Vehicle,102604,Hyderabad,149,Heavy Rain,Settled,25
C0361,Bhavin Chacko,2025-05-31,Property,213785,Hyderabad,267,Heavy Rain,Settled,23
C0362,Keya Borde,2025-03-23,Agriculture,182962,Kolkata,116,Heavy Rain,Settled,16
C0363,Samar Chander,2024-11-26,Agriculture,67836,Kolkata,159,Heavy Rain,Settled,18
C0364,Elakshi Konda,2025-07-23,Agriculture,218467,Hyderabad,124,Flood,Pending,21
C0365,Faiyaz Tata,2025-08-02,Agriculture,176080,Bangalore,293,Flood,Settled,20
C0366,Keya Thakkar,2024-12-24,Property,364465,Pune,194,Light Rain,Settled,12
C0367,Aayush Khatri,2025-07-13,Property,288910,Lucknow,220,Light Rain,Settled,24
C0368,Tara Mahajan,2024-10-29,Agriculture,79463,Jaipur,229,Moderate Rain,Settled,22
C0369,Taimur Kota,2025-02-20,Property,278427,Lucknow,59,Flood,Settled,10
C0370,Kashvi Dani,2025-09-11,Property,424265,Chennai,115,Heavy Rain,Settled,24
C0371,Kismat Sami,2025-07-19,Health,128882,Ahmedabad,155,Heavy Rain,Settled,6
C0372,Reyansh Dutta,2025-01-26,Property,149198,Delhi,177,Light Rain,Pending,8
C0373,Amira Thaker,2025-04-23,Health,28100,Kolkata,299,Light Rain,Pending,16
C0374,Zara Chauhan,2025-03-07,Vehicle,97339,Delhi,162,Flood,Settled,12
C0375,Dhanush Karan,2024-11-30,Agriculture,125851,Kolkata,140,Light Rain,Pending,25
C0376,Nitya Choudhary,2025-02-20,Agriculture,90887,Kolkata,181,Flood,Settled,30
C0377,Nishith Agrawal,2025-01-20,Agriculture,107863,Mumbai,295,Flood,Rejected,21
C0378,Zaina Singhal,2025-02-27,Agriculture,195074,Pune,105,Moderate Rain,Settled,7
C0379,Ela Thakur,2024-10-23,Vehicle,108629,Mumbai,191,Heavy Rain,Settled,28
C0380,Jayesh Sethi,2025-06-03,Agriculture,102365,Kolkata,116,Light Rain,Pending,25
C0381,Adah Kale,2025-05-14,Vehicle,48689,Hyderabad,235,Light Rain,Settled,5
C0382,Tanya Bir,2025-08-27,Health,27420,Hyderabad,92,Moderate Rain,Settled,18
C0383,Samiha Yohannan,2025-01-08,Property,323905,Bangalore,289,Flood,Pending,11
C0384,Advik Ganguly,2025-02-12,Health,131179,Chennai,215,Heavy Rain,Settled,8
C0385,Lavanya Raja,2025-07-24,Property,470986,Kolkata,253,Heavy Rain,Pending,5
C0386,Indrajit Baral,2025-06-28,Property,412685,Kolkata,291,Light Rain,Settled,29
C0387,Miraan Issac,2025-02-08,Health,159912,Kolkata,195,Moderate Rain,Pending,13
C0388,Inaaya  Banik,2025-01-25,Vehicle,109351,Delhi,210,Light Rain,Settled,27
C0389,Damini Sastry,2025-04-26,Vehicle,45025,Chennai,184,Moderate Rain,Settled,13
C0390,Nirvaan Desai,2025-01-17,Agriculture,98808,Kolkata,206,Flood,Pending,25
C0391,Aradhya Thaker,2025-08-18,Property,169041,Mumbai,279,Light Rain,Settled,20
C0392,Zara Zachariah,2025-06-01,Vehicle,136689,Mumbai,92,Heavy Rain,Settled,22
C0393,Jhanvi Vyas,2025-05-07,Property,354643,Chennai,255,Heavy Rain,Settled,30
C0394,Nirvi Dasgupta,2025-01-02,Vehicle,100162,Ahmedabad,157,Light Rain,Pending,15
C0395,Mannat Manda,2025-02-15,Vehicle,78744,Chennai,201,Heavy Rain,Settled,27
C0396,Nayantara Arora,2025-02-06,Property,401775,Lucknow,168,Heavy Rain,Settled,7
C0397,Oorja Contractor,2025-02-08,Agriculture,255417,Kolkata,257,Flood,Settled,14
C0398,Ishita Khanna,2025-07-10,Health,181305,Delhi,132,Heavy Rain,Rejected,9
C0399,Shlok Guha,2024-11-17,Property,274952,Chennai,126,Flood,Settled,20
C0400,Prerak Mandal,2025-01-07,Property,404924,Kolkata,167,Heavy Rain,Pending,9
C0401,Miraya Choudhury,2024-11-11,Property,372046,Ahmedabad,159,Flood,Pending,16
C0402,Hazel Arora,2024-10-17,Property,205907,Hyderabad,153,Light Rain,Pending,16
C0403,Lagan Chahal,2025-06-01,Property,326958,Chennai,191,Heavy Rain,Settled,13
C0404,Damini Kaur,2025-07-08,Agriculture,266174,Ahmedabad,295,Heavy Rain,Settled,21
C0405,Hazel Aurora,2024-10-02,Agriculture,285897,Hyderabad,237,Flood,Settled,13
C0406,Rati Khalsa,2025-02-18,Vehicle,95620,Ahmedabad,239,Moderate Rain,Settled,19
C0407,Siya Wali,2024-11-23,Property,389033,Ahmedabad,251,Light Rain,Settled,30
C0408,Divit Kumar,2024-12-08,Property,122207,Mumbai,150,Heavy Rain,Settled,24
C0409,Prisha Kashyap,2025-04-25,Property,191474,Bangalore,106,Flood,Settled,27
C0410,Nirvaan Sachar,2025-06-03,Property,291410,Ahmedabad,130,Heavy Rain,Settled,15
C0411,Rhea Batra,2025-06-11,Property,310353,Delhi,89,Moderate Rain,Settled,19
C0412,Siya Choudhary,2024-11-25,Agriculture,130545,Pune,78,Light Rain,Settled,26
C0413,Lakshay Bhatia,2024-12-19,Vehicle,123932,Hyderabad,100,Moderate Rain,Rejected,10
C0414,Badal Chaudhry,2024-11-06,Property,120239,Mumbai,104,Flood,Rejected,19
C0415,Adira Tiwari,2025-03-22,Health,85645,Chennai,223,Moderate Rain,Pending,18
C0416,Jiya Mane,2025-05-25,Health,126201,Bangalore,55,Flood,Settled,3
C0417,Saksham Suri,2025-03-02,Vehicle,149806,Lucknow,190,Flood,Settled,11
C0418,Shlok Kakar,2025-03-03,Agriculture,95287,Delhi,181,Heavy Rain,Pending,3
C0419,Shalv Baral,2025-09-22,Property,266166,Kolkata,162,Light Rain,Settled,4
C0420,Nirvi Chander,2024-12-16,Health,47036,Ahmedabad,103,Light Rain,Settled,28
C0421,Zoya Mangal,2025-01-01,Vehicle,148371,Chennai,197,Light Rain,Settled,17
C0422,Mohanlal Vyas,2024-11-27,Property,137339,Kolkata,208,Moderate Rain,Settled,7
C0423,Adah Sandal,2025-08-01,Property,325729,Pune,71,Flood,Pending,15
C0424,Riya Kumar,2025-01-18,Property,461964,Ahmedabad,70,Heavy Rain,Settled,21
C0425,Lagan Dave,2024-10-14,Property,229032,Chennai,262,Light Rain,Settled,27
C0426,Riaan Deep,2025-01-16,Agriculture,197198,Delhi,54,Heavy Rain,Settled,25
C0427,Inaaya  Atwal,2024-11-23,Vehicle,61563,Chennai,279,Flood,Settled,5
C0428,Anahita Thaker,2025-09-24,Property,110706,Mumbai,271,Flood,Settled,7
C0429,Ayesha Jaggi,2025-04-13,Property,449169,Ahmedabad,277,Moderate Rain,Rejected,18
C0430,Nirvaan Raja,2025-02-06,Health,189434,Bangalore,222,Flood,Pending,10
C0431,Yasmin Bala,2025-08-22,Property,446981,Mumbai,199,Flood,Pending,5
C0432,Rania Goel,2024-12-12,Property,397071,Delhi,250,Flood,Settled,21
C0433,Hridaan Khare,2025-03-11,Vehicle,85335,Lucknow,210,Heavy Rain,Pending,14
C0434,Ayesha Loyal,2025-07-04,Agriculture,151377,Kolkata,264,Heavy Rain,Pending,26
C0435,Ritvik Varma,2025-06-06,Property,484445,Chennai,259,Heavy Rain,Settled,24
C0436,Samiha Vohra,2025-05-31,Property,474519,Chennai,197,Light Rain,Pending,12
C0437,Shamik Bajwa,2025-07-13,Health,127983,Mumbai,252,Light Rain,Settled,14
C0438,Tushar Maharaj,2024-11-17,Vehicle,123471,Ahmedabad,250,Heavy Rain,Settled,27
C0439,Divit Bajaj,2025-01-11,Property,128134,Mumbai,119,Heavy Rain,Rejected,14
C0440,Saanvi Dhaliwal,2024-12-18,Property,152628,Kolkata,90,Moderate Rain,Settled,5
C0441,Navya Raman,2025-01-05,Health,137660,Jaipur,245,Heavy Rain,Pending,16
C0442,Amira Gara,2025-03-02,Property,475808,Lucknow,109,Heavy Rain,Rejected,12
C0443,Madhav Halder,2025-02-19,Health,46717,Ahmedabad,111,Moderate Rain,Settled,10
C0444,Pari Bava,2024-12-24,Agriculture,203672,Bangalore,155,Light Rain,Pending,21
C0445,Ivan Kunda,2025-07-30,Health,169241,Lucknow,111,Light Rain,Settled,11
C0446,Sahil Sridhar,2025-08-05,Health,126759,Kolkata,262,Heavy Rain,Rejected,25
C0447,Shaan Sha,2025-09-13,Vehicle,84905,Ahmedabad,215,Light Rain,Settled,17
C0448,Anvi Choudhry,2025-08-05,Health,173463,Bangalore,83,Flood,Settled,15
C0449,Armaan Rajagopal,2025-05-22,Property,406776,Chennai,223,Heavy Rain,Settled,8
C0450,Devansh Borah,2025-01-03,Agriculture,160700,Chennai,154,Heavy Rain,Pending,27
C0451,Yuvraj  Roy,2024-11-25,Agriculture,105429,Chennai,128,Flood,Settled,6
C0452,Manikya Malhotra,2025-06-10,Vehicle,45791,Lucknow,174,Moderate Rain,Settled,22
C0453,Gatik Kala,2025-08-15,Agriculture,293603,Jaipur,285,Light Rain,Pending,17
C0454,Pihu Desai,2025-09-21,Property,397093,Chennai,82,Flood,Pending,25
C0455,Ahana  Varma,2025-02-01,Agriculture,101337,Lucknow,139,Light Rain,Settled,15
C0456,Anika Hegde,2025-02-17,Agriculture,299039,Ahmedabad,137,Flood,Settled,13
C0457,Kavya Srivastava,2025-01-04,Vehicle,54681,Pune,101,Moderate Rain,Rejected,12
C0458,Inaaya  Uppal,2025-04-29,Vehicle,53250,Pune,252,Flood,Rejected,22
C0459,Shayak Setty,2025-06-14,Health,72164,Kolkata,157,Moderate Rain,Pending,13
C0460,Jivin Sharma,2024-10-05,Agriculture,118129,Kolkata,298,Moderate Rain,Pending,27
C0461,Damini Saini,2024-12-21,Vehicle,85633,Pune,69,Flood,Pending,5
C0462,Advika Singh,2024-10-04,Agriculture,219048,Pune,220,Heavy Rain,Rejected,10
C0463,Aarav Sachar,2025-06-22,Vehicle,75926,Kolkata,166,Moderate Rain,Settled,24
C0464,Dishani Kibe,2024-11-13,Health,55736,Bangalore,106,Heavy Rain,Rejected,17
C0465,Aradhya Tella,2025-01-07,Agriculture,232901,Hyderabad,174,Flood,Settled,20
C0466,Badal Gill,2024-10-08,Agriculture,172433,Bangalore,227,Moderate Rain,Pending,18
C0467,Tarini Vala,2025-07-13,Agriculture,194154,Mumbai,240,Heavy Rain,Settled,8
C0468,Divij Johal,2025-05-01,Property,300628,Jaipur,66,Light Rain,Settled,24
C0469,Adah Bahri,2025-02-02,Health,106680,Pune,256,Heavy Rain,Settled,4
C0470,Yuvraj  Bobal,2025-05-28,Health,130877,Jaipur,106,Light Rain,Settled,13
C0471,Inaaya  Lanka,2024-11-27,Health,152718,Kolkata,242,Flood,Rejected,30
C0472,Parinaaz Ganguly,2025-05-08,Vehicle,46479,Jaipur,95,Light Rain,Settled,14
C0473,Tejas Saran,2025-05-05,Health,175130,Ahmedabad,279,Moderate Rain,Rejected,6
C0474,Madhup Dass,2025-05-02,Agriculture,137493,Hyderabad,127,Light Rain,Settled,14
C0475,Renee Bansal,2025-09-09,Agriculture,61749,Pune,210,Flood,Pending,17
C0476,Anay Srinivas,2025-06-10,Agriculture,246050,Kolkata,130,Moderate Rain,Rejected,8
C0477,Renee Jha,2025-05-30,Property,119457,Lucknow,188,Moderate Rain,Settled,14
C0478,Inaaya  Chanda,2025-04-13,Agriculture,192628,Delhi,261,Flood,Pending,11
C0479,Jayan Sankaran,2025-04-16,Health,102941,Pune,202,Heavy Rain,Settled,30
C0480,Kaira Sharaf,2025-03-27,Agriculture,241720,Bangalore,214,Moderate Rain,Rejected,4
C0481,Farhan Deol,2024-12-14,Health,56978,Mumbai,244,Moderate Rain,Settled,24
C0482,Riaan Dhawan,2025-06-23,Health,128419,Delhi,251,Heavy Rain,Pending,14
C0483,Trisha Agate,2025-05-30,Agriculture,179522,Bangalore,95,Flood,Rejected,15
C0484,Jhanvi Kant,2025-09-04,Vehicle,85206,Ahmedabad,297,Moderate Rain,Pending,18
C0485,Misha Thaker,2024-11-29,Vehicle,31049,Ahmedabad,139,Light Rain,Settled,23
C0486,Saanvi Vora,2025-02-11,Vehicle,47440,Delhi,230,Light Rain,Settled,6
C0487,Dishani Bhattacharyya,2025-05-01,Health,120522,Mumbai,160,Moderate Rain,Settled,19
C0488,Khushi Dhaliwal,2024-10-13,Property,152479,Chennai,187,Moderate Rain,Settled,3
C0489,Mohanlal Gara,2025-01-09,Health,23632,Delhi,97,Flood,Settled,5
C0490,Tushar Srinivasan,2025-06-03,Vehicle,106973,Lucknow,249,Light Rain,Settled,11
C0491,Aarav Randhawa,2025-05-28,Health,54045,Mumbai,134,Heavy Rain,Settled,23
C0492,Kiaan Gour,2025-04-05,Health,176249,Hyderabad,53,Moderate Rain,Rejected,15
C0493,Fateh Bains,2025-04-06,Health,168599,Hyderabad,180,Light Rain,Rejected,12
C0494,Adah Handa,2025-06-24,Health,55406,Jaipur,262,Flood,Settled,20
C0495,Azad Kapur,2025-08-03,Health,23521,Jaipur,165,Flood,Pending,10
C0496,Navya Sur,2025-01-09,Agriculture,135850,Hyderabad,110,Moderate Rain,Pending,29
C0497,Mishti Subramaniam,2025-07-08,Agriculture,270540,Hyderabad,299,Light Rain,Settled,8
C0498,Anay Kunda,2025-05-03,Vehicle,111196,Jaipur,250,Heavy Rain,Rejected,10
C0499,Dhanush Ganesan,2025-04-25,Vehicle,81863,Ahmedabad,221,Light Rain,Settled,28
C0500,Saira Sandal,2025-04-01,Property,394122,Chennai,153,Light Rain,Settled,24
C0501,Arnav Bhattacharyya,2024-11-30,Property,458137,Kolkata,202,Light Rain,Settled,5
C0502,Advika Kumer,2024-11-14,Vehicle,66671,Kolkata,101,Heavy Rain,Settled,5
C0503,Ishaan Tailor,2025-09-21,Vehicle,105072,Jaipur,220,Heavy Rain,Settled,24
C0504,Miraan Chad,2025-04-16,Health,180084,Kolkata,176,Light Rain,Settled,29
C0505,Nayantara Shukla,2025-07-20,Health,163631,Bangalore,139,Flood,Settled,18
C0506,Bhamini Bakshi,2025-09-01,Vehicle,36774,Lucknow,142,Moderate Rain,Settled,20
C0507,Samarth Johal,2025-07-02,Property,334028,Pune,229,Flood,Settled,18
C0508,Prerak Manne,2024-11-21,Agriculture,239116,Jaipur,151,Heavy Rain,Settled,24
C0509,Rhea Trivedi,2025-08-17,Agriculture,64599,Delhi,98,Light Rain,Settled,27
C0510,Bhamini Som,2025-04-24,Health,25852,Hyderabad,149,Flood,Settled,5
C0511,Mishti Vohra,2024-12-05,Agriculture,53576,Delhi,196,Moderate Rain,Settled,6
C0512,Mishti Shroff,2025-08-21,Property,220511,Delhi,236,Flood,Pending,5
C0513,Ehsaan Balan,2025-04-09,Vehicle,36129,Pune,119,Flood,Settled,27
C0514,Miraan Hayer,2025-08-09,Vehicle,139580,Chennai,113,Heavy Rain,Settled,27
C0515,Keya Mani,2025-04-24,Property,268908,Lucknow,204,Heavy Rain,Rejected,12
C0516,Darshit Sethi,2024-12-14,Property,238487,Chennai,223,Moderate Rain,Settled,21
C0517,Renee Sani,2024-11-01,Health,78939,Kolkata,287,Heavy Rain,Settled,28
C0518,Miraan Deep,2025-06-25,Property,290102,Ahmedabad,83,Heavy Rain,Settled,7
C0519,Riya Ramesh,2025-07-29,Property,453073,Kolkata,202,Moderate Rain,Pending,15
C0520,Nehmat Sachdev,2025-09-20,Property,164288,Bangalore,276,Light Rain,Settled,24
C0521,Anaya Ramesh,2024-10-29,Vehicle,132114,Chennai,188,Moderate Rain,Pending,30
C0522,Eshani Badal,2025-01-03,Property,245709,Lucknow,264,Moderate Rain,Pending,7
C0523,Damini Saxena,2025-08-15,Property,413901,Kolkata,179,Moderate Rain,Pending,22
C0524,Manjari Vala,2025-05-25,Property,293664,Mumbai,298,Moderate Rain,Pending,23
C0525,Saksham Buch,2025-01-22,Health,99675,Bangalore,80,Moderate Rain,Settled,4
C0526,Shaan Karpe,2024-09-29,Vehicle,84860,Ahmedabad,272,Light Rain,Pending,26
C0527,Fateh Jayaraman,2025-05-04,Agriculture,130437,Lucknow,178,Heavy Rain,Settled,14
C0528,Tejas Hari,2024-12-05,Property,376290,Kolkata,101,Flood,Settled,18
C0529,Rhea Virk,2025-07-30,Vehicle,110451,Pune,71,Moderate Rain,Settled,23
C0530,Shamik Deep,2025-07-23,Agriculture,178635,Kolkata,294,Moderate Rain,Settled,20
C0531,Siya Rajan,2024-12-14,Agriculture,87256,Delhi,144,Light Rain,Pending,23
C0532,Trisha Borra,2025-06-13,Property,134806,Kolkata,148,Moderate Rain,Settled,25
C0533,Lakshit Sastry,2025-09-04,Property,127925,Ahmedabad,267,Light Rain,Settled,20
C0534,Mamooty Guha,2025-06-04,Health,114467,Ahmedabad,246,Moderate Rain,Rejected,18
C0535,Ivan Doshi,2025-02-23,Agriculture,85749,Pune,80,Light Rain,Settled,10
C0536,Samiha Sem,2024-11-01,Vehicle,34464,Delhi,287,Flood,Pending,22
C0537,Mishti Keer,2025-05-23,Vehicle,61216,Ahmedabad,111,Flood,Settled,4
C0538,Fateh Dalal,2025-03-12,Health,63287,Mumbai,232,Flood,Rejected,6
C0539,Tiya Seshadri,2025-03-10,Health,167649,Delhi,265,Flood,Pending,20
C0540,Tushar Rastogi,2025-07-04,Property,391037,Lucknow,152,Moderate Rain,Settled,27
C0541,Mamooty Chaudhuri,2025-05-01,Property,236255,Kolkata,148,Light Rain,Settled,10
C0542,Devansh Sethi,2025-06-16,Vehicle,32679,Bangalore,247,Moderate Rain,Settled,5
C0543,Hridaan Dutta,2024-11-06,Vehicle,109933,Mumbai,172,Heavy Rain,Pending,24
C0544,Gatik Rege,2025-09-18,Health,199080,Hyderabad,68,Light Rain,Settled,11
C0545,Biju Sankar,2024-12-16,Property,319082,Pune,294,Moderate Rain,Rejected,7
C0546,Anika Ramachandran,2025-08-17,Vehicle,89074,Pune,262,Moderate Rain,Pending,22
C0547,Misha Boase,2025-08-16,Vehicle,141637,Bangalore,155,Light Rain,Settled,8
C0548,Mahika Sandal,2025-07-03,Vehicle,115994,Kolkata,274,Flood,Settled,12
C0549,Zara Ramesh,2024-10-18,Agriculture,74414,Bangalore,286,Flood,Settled,22
C0550,Tejas Kakar,2024-12-17,Agriculture,191274,Bangalore,73,Flood,Pending,5
C0551,Kimaya Borde,2025-01-30,Property,102077,Bangalore,56,Light Rain,Settled,7
C0552,Taimur Dixit,2024-12-25,Vehicle,84146,Mumbai,110,Moderate Rain,Settled,14
C0553,Inaaya  Virk,2025-04-06,Vehicle,54574,Lucknow,209,Moderate Rain,Rejected,29
C0554,Darshit Krish,2025-09-25,Health,51992,Bangalore,209,Moderate Rain,Settled,25
C0555,Navya Kapoor,2024-11-17,Vehicle,140890,Chennai,148,Light Rain,Pending,24
C0556,Mehul Randhawa,2025-03-27,Vehicle,60262,Bangalore,194,Heavy Rain,Settled,15
C0557,Neysa Wable,2025-02-28,Health,100331,Lucknow,162,Heavy Rain,Settled,5
C0558,Inaaya  Shankar,2024-11-19,Agriculture,134660,Pune,297,Light Rain,Settled,12
C0559,Neysa Kunda,2025-03-29,Health,71275,Mumbai,199,Moderate Rain,Pending,16
C0560,Kanav Gandhi,2025-08-18,Agriculture,74827,Pune,213,Heavy Rain,Settled,5
C0561,Adira Amble,2025-05-27,Property,225766,Jaipur,240,Flood,Settled,11
C0562,Siya Bava,2025-02-17,Vehicle,85051,Kolkata,99,Moderate Rain,Settled,5
C0563,Saanvi Sachdeva,2025-07-18,Health,63509,Hyderabad,90,Moderate Rain,Settled,26
C0564,Vritika Babu,2025-06-30,Property,303386,Mumbai,264,Light Rain,Settled,26
C0565,Shlok Bala,2025-05-19,Property,277820,Jaipur,64,Flood,Settled,17
C0566,Tarini Arora,2025-09-23,Property,404625,Jaipur,258,Heavy Rain,Pending,19
C0567,Elakshi Vasa,2024-10-23,Agriculture,269203,Mumbai,90,Flood,Settled,13
C0568,Mahika Walia,2024-12-04,Health,57791,Jaipur,281,Light Rain,Pending,8
C0569,Gatik Sehgal,2025-03-27,Health,136938,Lucknow,268,Moderate Rain,Settled,22
C0570,Advika Reddy,2025-08-10,Health,154446,Pune,156,Flood,Settled,30
C0571,Vanya Borah,2025-02-22,Agriculture,175047,Ahmedabad,208,Light Rain,Settled,14
C0572,Advik Loyal,2024-11-26,Agriculture,109251,Chennai,185,Heavy Rain,Pending,11
C0573,Anvi Tara,2025-09-14,Vehicle,102836,Ahmedabad,165,Moderate Rain,Settled,18
C0574,Arhaan Bal,2025-02-09,Agriculture,58891,Pune,181,Flood,Settled,17
C0575,Priyansh Sant,2024-10-25,Health,171006,Mumbai,240,Heavy Rain,Settled,27
C0576,Yakshit Sethi,2024-12-22,Agriculture,120703,Mumbai,221,Flood,Pending,12
C0577,Nitara Chacko,2024-10-01,Agriculture,251467,Kolkata,166,Flood,Pending,11
C0578,Inaaya  Bhatnagar,2025-02-17,Vehicle,94989,Hyderabad,100,Light Rain,Settled,28
